Tamanho,Comparações,Trocas,Tempo(ms)
1000,499500,500,2
1000,499500,500,2
1000,499500,500,0
1000,499500,500,0
1000,499498,500,0
1000,499500,501,0
1000,499496,501,0
1000,499500,502,0
1000,499494,502,0
1000,499500,503,0
1000,499492,503,0
1000,499500,504,0
1000,499490,504,0
1000,499500,505,0
1000,499488,505,0
1000,499500,506,0
1000,499486,506,0
1000,499500,507,0
1000,499484,507,0
1000,499500,508,0
1000,499482,508,0
1000,499500,509,0
1000,499480,509,0
1000,499500,510,0
1000,499478,510,0
1000,499500,511,0
1000,499476,511,0
1000,499500,512,0
1000,499474,512,0
1000,499500,513,0
1000,499472,513,0
1000,499500,514,0
1000,499470,514,0
1000,499500,515,0
1000,499468,515,0
1000,499500,516,0
1000,499466,516,0
1000,499500,517,0
1000,499464,517,0
1000,499500,518,0
1000,499462,518,0
1000,499500,519,0
1000,499460,519,0
1000,499500,520,0
1000,499458,520,0
1000,499500,521,0
1000,499456,521,0
1000,499500,522,0
1000,499454,522,0
1000,499500,523,0
1000,499452,523,0
1000,499500,524,0
1000,499450,524,0
1000,499500,525,0
1000,499448,525,0
1000,499500,526,0
1000,499446,526,0
1000,499500,527,0
1000,499444,527,0
1000,499500,528,0
1000,499442,528,0
1000,499500,529,0
1000,499440,529,0
1000,499500,530,0
1000,499438,530,0
1000,499500,531,0
1000,499436,531,0
1000,499500,532,0
1000,499434,532,0
1000,499500,533,0
1000,499432,533,0
1000,499500,534,0
1000,499430,534,0
1000,499500,535,0
1000,499428,535,0
1000,499500,536,0
1000,499426,536,0
1000,499500,537,0
1000,499424,537,0
1000,499500,538,0
1000,499422,538,0
1000,499500,539,0
1000,499420,539,0
1000,499500,540,0
1000,499418,540,0
1000,499500,541,0
1000,499416,541,0
1000,499500,542,0
1000,499414,542,0
1000,499500,543,0
1000,499412,543,0
1000,499500,544,0
1000,499410,544,0
1000,499500,545,0
1000,499408,545,0
1000,499500,546,0
1000,499406,546,0
1000,499500,547,0
1000,499404,547,0
1000,499500,548,0
1000,499402,548,0
1000,499500,549,0
1000,499400,549,0
1000,499500,550,0
1000,499398,550,0
1000,499500,551,0
1000,499396,551,0
1000,499500,552,0
1000,499394,552,0
1000,499500,553,0
1000,499392,553,0
1000,499500,554,0
1000,499390,554,0
1000,499500,555,0
1000,499388,555,0
1000,499500,556,0
1000,499386,556,0
1000,499500,557,0
1000,499384,557,0
1000,499500,558,0
1000,499382,558,0
1000,499500,559,0
1000,499380,559,0
1000,499500,560,0
1000,499378,560,0
1000,499500,561,0
1000,499376,561,0
1000,499500,562,0
1000,499374,562,0
1000,499500,563,0
1000,499372,563,0
1000,499500,564,0
1000,499370,564,0
1000,499500,565,0
1000,499368,565,0
1000,499500,566,0
1000,499366,566,0
1000,499500,567,0
1000,499364,567,0
1000,499500,568,0
1000,499362,568,0
1000,499500,569,0
1000,499360,569,0
1000,499500,570,0
1000,499358,570,0
1000,499500,571,0
1000,499356,571,0
1000,499500,572,0
1000,499354,572,0
1000,499500,573,0
1000,499352,573,0
1000,499500,574,0
1000,499350,574,0
1000,499500,575,0
1000,499348,575,0
1000,499500,576,0
1000,499346,576,0
1000,499500,577,0
1000,499344,577,0
1000,499500,578,0
1000,499342,578,0
1000,499500,579,0
1000,499340,579,0
1000,499500,580,0
1000,499338,580,0
1000,499500,581,0
1000,499336,581,0
1000,499500,582,0
1000,499334,582,0
1000,499500,583,0
1000,499332,583,0
1000,499500,584,0
1000,499330,584,0
1000,499500,585,0
1000,499328,585,0
1000,499500,586,0
1000,499326,586,0
1000,499500,587,0
1000,499324,587,0
1000,499500,588,0
1000,499322,588,0
1000,499500,589,0
1000,499320,589,0
1000,499500,590,0
1000,499318,590,0
1000,499500,591,0
1000,499316,591,0
1000,499500,592,0
1000,499314,592,0
1000,499500,593,0
1000,499312,593,0
1000,499500,594,0
1000,499310,594,0
1000,499500,595,0
1000,499308,595,0
1000,499500,596,0
1000,499306,596,0
1000,499500,597,0
1000,499304,597,0
1000,499500,598,0
1000,499302,598,0
1000,499500,599,0
1000,499300,599,0
1000,499500,600,0
1000,499298,600,0
1000,499500,601,0
1000,499296,601,0
1000,499500,602,0
1000,499294,602,0
1000,499500,603,0
1000,499292,603,0
1000,499500,604,0
1000,499290,604,0
1000,499500,605,0
1000,499288,605,0
1000,499500,606,0
1000,499286,606,0
1000,499500,607,0
1000,499284,607,0
1000,499500,608,0
1000,499282,608,0
1000,499500,609,0
1000,499280,609,0
1000,499500,610,0
1000,499278,610,0
1000,499500,611,0
1000,499276,611,0
1000,499500,612,0
1000,499274,612,0
1000,499500,613,0
1000,499272,613,0
1000,499500,614,0
1000,499270,614,0
1000,499500,615,0
1000,499268,615,0
1000,499500,616,0
1000,499266,616,0
1000,499500,617,0
1000,499264,617,0
1000,499500,618,0
1000,499262,618,0
1000,499500,619,0
1000,499260,619,0
1000,499500,620,0
1000,499258,620,0
1000,499500,621,0
1000,499256,621,0
1000,499500,622,0
1000,499254,622,0
1000,499500,623,0
1000,499252,623,0
1000,499500,624,0
1000,499250,624,0
1000,499500,625,0
1000,499248,625,0
1000,499500,626,0
1000,499246,626,0
1000,499500,627,0
1000,499244,627,0
1000,499500,628,0
1000,499242,628,0
1000,499500,629,0
1000,499240,629,0
1000,499500,630,0
1000,499238,630,0
1000,499500,631,0
1000,499236,631,0
1000,499500,632,0
1000,499234,632,0
1000,499500,633,0
1000,499232,633,0
1000,499500,634,0
1000,499230,634,0
1000,499500,635,0
1000,499228,635,0
1000,499500,636,0
1000,499226,636,0
1000,499500,637,0
1000,499224,637,0
1000,499500,638,0
1000,499222,638,0
1000,499500,639,0
1000,499220,639,0
1000,499500,640,0
1000,499218,640,0
1000,499500,641,0
1000,499216,641,0
1000,499500,642,0
1000,499214,642,0
1000,499500,643,0
1000,499212,643,0
1000,499500,644,0
1000,499210,644,0
1000,499500,645,0
1000,499208,645,0
1000,499500,646,0
1000,499206,646,0
1000,499500,647,0
1000,499204,647,0
1000,499500,648,0
1000,499202,648,0
1000,499500,649,0
1000,499200,649,0
1000,499500,650,0
1000,499198,650,0
1000,499500,651,0
1000,499196,651,0
1000,499500,652,0
1000,499194,652,0
1000,499500,653,0
1000,499192,653,0
1000,499500,654,0
1000,499190,654,0
1000,499500,655,0
1000,499188,655,0
1000,499500,656,0
1000,499186,656,0
1000,499500,657,0
1000,499184,657,0
1000,499500,658,0
1000,499182,658,0
1000,499500,659,0
1000,499180,659,0
1000,499500,660,0
1000,499178,660,0
1000,499500,661,0
1000,499176,661,0
1000,499500,662,0
1000,499174,662,0
1000,499500,663,0
1000,499172,663,0
1000,499500,664,0
1000,499170,664,0
1000,499500,665,1
1000,499168,665,0
1000,499500,666,0
1000,499166,666,0
1000,499500,667,0
1000,499164,667,0
1000,499500,668,0
1000,499162,668,0
1000,499500,669,0
1000,499160,669,0
1000,499500,670,0
1000,499158,670,0
1000,499500,671,0
1000,499156,671,0
1000,499500,672,0
1000,499154,672,0
1000,499500,673,0
1000,499152,673,0
1000,499500,674,0
1000,499150,674,0
1000,499500,675,0
1000,499148,675,0
1000,499500,676,0
1000,499146,676,0
1000,499500,677,0
1000,499144,677,0
1000,499500,678,0
1000,499142,678,0
1000,499500,679,0
1000,499140,679,0
1000,499500,680,0
1000,499138,680,0
1000,499500,681,0
1000,499136,681,0
1000,499500,682,0
1000,499134,682,0
1000,499500,683,0
1000,499132,683,0
1000,499500,684,0
1000,499130,684,0
1000,499500,685,0
1000,499128,685,0
1000,499500,686,0
1000,499126,686,0
1000,499500,687,0
1000,499124,687,0
1000,499500,688,0
1000,499122,688,0
1000,499500,689,0
1000,499120,689,0
1000,499500,690,0
1000,499118,690,0
1000,499500,691,0
1000,499116,691,0
1000,499500,692,0
1000,499114,692,0
1000,499500,693,0
1000,499112,693,0
1000,499500,694,0
1000,499110,694,0
1000,499500,695,0
1000,499108,695,0
1000,499500,696,0
1000,499106,696,0
1000,499500,697,0
1000,499104,697,0
1000,499500,698,0
1000,499102,698,0
1000,499500,699,0
1000,499100,699,0
1000,499500,700,0
1000,499098,700,0
1000,499500,701,0
1000,499096,701,0
1000,499500,702,0
1000,499094,702,0
1000,499500,703,0
1000,499092,703,0
1000,499500,704,0
1000,499090,704,0
1000,499500,705,0
1000,499088,705,0
1000,499500,706,0
1000,499086,706,0
1000,499500,707,0
1000,499084,707,0
1000,499500,708,0
1000,499082,708,0
1000,499500,709,0
1000,499080,709,0
1000,499500,710,0
1000,499078,710,0
1000,499500,711,0
1000,499076,711,0
1000,499500,712,0
1000,499074,712,0
1000,499500,713,0
1000,499072,713,0
1000,499500,714,0
1000,499070,714,0
1000,499500,715,0
1000,499068,715,0
1000,499500,716,0
1000,499066,716,0
1000,499500,717,0
1000,499064,717,0
1000,499500,718,0
1000,499062,718,0
1000,499500,719,0
1000,499060,719,0
1000,499500,720,0
1000,499058,720,0
1000,499500,721,0
1000,499056,721,0
1000,499500,722,0
1000,499054,722,0
1000,499500,723,0
1000,499052,723,0
1000,499500,724,0
1000,499050,724,0
1000,499500,725,0
1000,499048,725,0
1000,499500,726,0
1000,499046,726,0
1000,499500,727,0
1000,499044,727,0
1000,499500,728,0
1000,499042,728,0
1000,499500,729,0
1000,499040,729,0
1000,499500,730,0
1000,499038,730,0
1000,499500,731,0
1000,499036,731,0
1000,499500,732,0
1000,499034,732,0
1000,499500,733,0
1000,499032,733,0
1000,499500,734,0
1000,499030,734,0
1000,499500,735,0
1000,499028,735,0
1000,499500,736,0
1000,499026,736,0
1000,499500,737,0
1000,499024,737,0
1000,499500,738,0
1000,499022,738,0
1000,499500,739,0
1000,499020,739,0
1000,499500,740,0
1000,499018,740,0
1000,499500,741,0
1000,499016,741,0
1000,499500,742,0
1000,499014,742,0
1000,499500,743,0
1000,499012,743,0
1000,499500,744,0
1000,499010,744,0
1000,499500,745,0
1000,499008,745,0
1000,499500,746,0
1000,499006,746,0
